epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.58633,0.68049,2.81348,1.23451,0.00384,0.9881,0.63656,0.52674,0.42086,2.82115,1.00827,0.00020006,0.00020006,0.00020006
2,8.28771,0.65489,1.61527,1.19518,0.87495,0.0825,0.75896,0.58314,0.61648,2.61651,1.15811,0.000400734,0.000400734,0.000400734
3,10.6112,0.69284,1.41601,1.24617,0.75895,0.7381,0.81193,0.58747,0.76784,1.79355,1.40752,0.000587262,0.000587262,0.000587262
4,12.9304,0.64806,1.32334,1.22746,0.65807,0.66905,0.70246,0.4733,0.84309,1.9225,1.36292,0.000759642,0.000759642,0.000759642
5,15.1719,0.70726,1.28611,1.23563,0.49613,0.59708,0.54396,0.34135,1.10183,2.07993,1.64299,0.000917875,0.000917875,0.000917875
6,17.3975,0.74493,1.29949,1.232,0.47719,0.49048,0.49074,0.26657,1.49178,2.12221,1.95309,0.00106196,0.00106196,0.00106196
7,19.5897,0.68744,1.23706,1.18821,0.6508,0.5848,0.59557,0.38138,1.04234,1.97215,1.59397,0.00114606,0.00114606,0.00114606
8,21.8295,0.69997,1.20323,1.20603,0.60624,0.62114,0.67078,0.35638,1.13309,2.02736,1.6672,0.0010989,0.0010989,0.0010989
9,23.9812,0.67166,1.0835,1.16724,0.69758,0.78922,0.76722,0.49983,0.9956,1.82894,1.61732,0.00105174,0.00105174,0.00105174
10,26.1829,0.70253,1.10357,1.19758,0.63021,0.78297,0.75102,0.46838,1.00721,1.90515,1.57016,0.00100459,0.00100459,0.00100459
11,28.3887,0.65527,1.00397,1.16411,0.73078,0.79232,0.82219,0.55514,0.87021,1.56734,1.44859,0.00095743,0.00095743,0.00095743
12,30.5282,0.67824,1.05796,1.19692,0.7849,0.88571,0.85222,0.56338,1.04476,1.4641,1.75047,0.000910273,0.000910273,0.000910273
13,32.6246,0.65489,1.01012,1.14045,0.81488,0.84558,0.85181,0.54196,1.00934,1.40763,1.5648,0.000863116,0.000863116,0.000863116
14,34.6612,0.63145,0.95662,1.14748,0.87342,0.83128,0.86176,0.64163,0.82018,1.21036,1.35318,0.000815959,0.000815959,0.000815959
15,36.8545,0.64547,0.92198,1.16217,0.79216,0.70569,0.80703,0.59041,1.01036,1.35417,1.52328,0.000768802,0.000768802,0.000768802
16,38.9401,0.58881,0.87918,1.13448,0.87307,0.83571,0.88886,0.66485,0.78252,1.16237,1.28769,0.000721645,0.000721645,0.000721645
17,41.143,0.59764,0.86913,1.13283,0.91321,0.89806,0.92273,0.71603,0.73398,1.01804,1.24626,0.000674488,0.000674488,0.000674488
18,43.3693,0.59119,0.87025,1.12024,0.91462,0.91012,0.92868,0.7025,0.83115,1.03395,1.34593,0.000627331,0.000627331,0.000627331
19,45.5309,0.52973,0.78726,1.08147,0.91287,0.80261,0.90763,0.7052,0.7088,0.98217,1.24361,0.000580174,0.000580174,0.000580174
20,47.6409,0.52617,0.74735,1.07707,0.95017,0.82887,0.92829,0.75061,0.65463,0.85198,1.17807,0.000533017,0.000533017,0.000533017
21,66.0059,0.49863,1.18038,1.07002,0.94959,0.8823,0.93259,0.76119,0.66513,0.88465,1.18353,0.00048586,0.00048586,0.00048586
22,68.1411,0.45568,0.99952,1.05605,0.9496,0.91242,0.9257,0.66232,0.847,1.04177,1.42496,0.000438703,0.000438703,0.000438703
23,70.3951,0.46628,0.90703,1.05716,0.86793,0.92825,0.94627,0.76294,0.64492,0.9353,1.16924,0.000391546,0.000391546,0.000391546
24,72.5392,0.41106,0.82437,1.02029,0.9395,0.87421,0.95115,0.79813,0.55887,0.91081,1.09524,0.000344389,0.000344389,0.000344389
25,74.7365,0.40708,0.80317,1.01688,0.87741,0.89772,0.9417,0.79714,0.54758,0.89971,1.11945,0.000297232,0.000297232,0.000297232
26,76.8012,0.36606,0.7533,0.9887,0.94901,0.87533,0.93694,0.7825,0.55651,0.85679,1.11481,0.000250075,0.000250075,0.000250075
27,78.9009,0.37096,0.72657,0.98721,0.93209,0.85684,0.93485,0.76746,0.57452,0.85844,1.14097,0.000202918,0.000202918,0.000202918
28,80.9711,0.36824,0.70499,0.97201,0.91551,0.91854,0.93684,0.79262,0.55858,0.81481,1.11276,0.000155761,0.000155761,0.000155761
29,83.0712,0.33549,0.66547,0.9537,0.89283,0.92572,0.93787,0.7932,0.52726,0.8086,1.08219,0.000108604,0.000108604,0.000108604
30,85.1634,0.3172,0.65037,0.94758,0.94088,0.931,0.94402,0.79734,0.51758,0.79384,1.06535,6.1447e-05,6.1447e-05,6.1447e-05
